dataset_name,method,fusion,modality_combo,coefficient,target,value,std
SwedishLeaf,gated_fusion__raw_stats_GAF_STFT,gated_fusion,raw_stats_GAF_STFT,gate,stats,0.31247326731681824,0.08277235180139542
SwedishLeaf,gated_fusion__raw_stats_GAF_STFT,gated_fusion,raw_stats_GAF_STFT,gate,gaf,0.1619383990764618,0.07951033115386963
SwedishLeaf,gated_fusion__raw_stats_GAF_STFT,gated_fusion,raw_stats_GAF_STFT,gate,stft,0.29435551166534424,0.09216318279504776
SwedishLeaf,residual_gated_fusion_vector_alpha__raw_STFT,residual_gated_fusion_vector_alpha,raw_STFT,alpha_abs_mean,residual_delta,0.3142663240432739,0.23891346156597137
SwedishLeaf,residual_gated_fusion_vector_alpha__raw_GAF,residual_gated_fusion_vector_alpha,raw_GAF,alpha_abs_mean,residual_delta,0.2508411705493927,0.2444048970937729
SwedishLeaf,residual_gated_fusion_vector_alpha__raw_stats_STFT,residual_gated_fusion_vector_alpha,raw_stats_STFT,alpha_abs_mean,residual_delta,0.3117145597934723,0.3369120955467224
SwedishLeaf,residual_gated_fusion_vector_alpha__raw_stats_GAF_STFT,residual_gated_fusion_vector_alpha,raw_stats_GAF_STFT,alpha_abs_mean,residual_delta,0.3362377882003784,0.3372322618961334
SwedishLeaf,residual_gated_fusion_scalar_alpha__raw_STFT,residual_gated_fusion_scalar_alpha,raw_STFT,alpha_abs_mean,residual_delta,0.1380254030227661,0.18913087248802185
SwedishLeaf,residual_gated_fusion_scalar_alpha__raw_GAF,residual_gated_fusion_scalar_alpha,raw_GAF,alpha_abs_mean,residual_delta,0.23178032040596008,0.20082026720046997
SwedishLeaf,residual_gated_fusion_scalar_alpha__raw_stats_STFT,residual_gated_fusion_scalar_alpha,raw_stats_STFT,alpha_abs_mean,residual_delta,0.7461095452308655,0.2687285840511322
SwedishLeaf,residual_gated_fusion_scalar_alpha__raw_stats_GAF_STFT,residual_gated_fusion_scalar_alpha,raw_stats_GAF_STFT,alpha_abs_mean,residual_delta,0.6708138585090637,0.37093013525009155
SwedishLeaf,film_fusion__raw_STFT,film_fusion,raw_STFT,gamma_abs_mean,raw_modulation,0.4446859359741211,0.10766826570034027
SwedishLeaf,film_fusion__raw_STFT,film_fusion,raw_STFT,beta_abs_mean,raw_shift,0.19597168266773224,0.12429139763116837
SwedishLeaf,film_fusion__raw_GAF,film_fusion,raw_GAF,gamma_abs_mean,raw_modulation,0.4395905137062073,0.11157381534576416
SwedishLeaf,film_fusion__raw_GAF,film_fusion,raw_GAF,beta_abs_mean,raw_shift,0.23542006313800812,0.1583811640739441
SwedishLeaf,film_fusion__raw_stats_STFT,film_fusion,raw_stats_STFT,gamma_abs_mean,raw_modulation,0.42542994022369385,0.12079014629125595
SwedishLeaf,film_fusion__raw_stats_STFT,film_fusion,raw_stats_STFT,beta_abs_mean,raw_shift,0.38166314363479614,0.14030180871486664
SwedishLeaf,film_fusion__raw_stats_GAF_STFT,film_fusion,raw_stats_GAF_STFT,gamma_abs_mean,raw_modulation,0.42231324315071106,0.12372146546840668
SwedishLeaf,film_fusion__raw_stats_GAF_STFT,film_fusion,raw_stats_GAF_STFT,beta_abs_mean,raw_shift,0.39354655146598816,0.13327421247959137
